,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
30,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,82,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
31,Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,25,0.42,0.281,11,-8.204,1,0.0334,0.829,0.0,0.376,0.229,119.515,213165,4
32,Pierce The Veil,King For A Day,1IT0WQk5J8NsaeII8ktdlZ,75,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,236293,4
33,Anthem Lights,Best of 2009: Whatcha’ Say / Use Somebody / Halo / I'm Yours / Just Dance / I Gotta Feeling,1wkysG5Hk1Qdh0hpNCqNR0,43,0.445,0.376,11,-6.244,1,0.0298,0.706,0.0,0.27,0.473,129.022,209518,4
34,Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,77,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
35,Joey Purp,2012,2hJf188Sz3XxfBDmYK1IMC,51,0.956,0.427,6,-7.39,0,0.447,0.799,0.0,0.0886,0.271,123.083,183881,4
36,Passenger,Let Her Go,1KxwZYyzWNyZSRyErj2ojT,75,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,252733,4
37,The Kiboomers,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,28,0.903,0.262,2,-12.528,1,0.081,0.843,0.0,0.109,0.681,95.098,89655,4
38,Calvin Harris,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,81,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
39,Anthem Lights,Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,5J1iMCE9SnuOqwRwOpVxhp,40,0.417,0.443,5,-6.261,1,0.0328,0.709,0.0,0.217,0.47,119.903,155342,4
40,MARINA,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,79,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,154667,4
41,Saba,2012 (feat. Day Wave),4UFGBYbb7ixis7fTdzQx0h,46,0.696,0.678,11,-7.825,0,0.515,0.279,7.13e-05,0.109,0.308,155.105,260160,4
42,Carly Rae Jepsen,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,72,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
43,Riff Raff,Rookie of the Year 2013,4KoDsg2EbYPgqpXSrKqB7F,18,0.773,0.859,2,-6.459,1,0.0573,0.0044,0.00711,0.117,0.577,159.955,121500,4
44,Kesha,Die Young,7EQGXaVSyEDsCWKmUcfpLk,78,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
45,David Bowie,"Starman - Original Single Mix, 2012 Remaster",6WTk0b9dMcdIiOlnF60AyB,30,0.507,0.379,5,-12.826,1,0.0278,0.245,4.61e-05,0.225,0.57,99.843,257360,4
46,Kendrick Lamar,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,72,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,4
47,Will Wood and the Tapeworms,2012,4Lmy2Jt6S9h1dZcXwiKixU,40,0.447,0.864,5,-3.222,1,0.0553,0.305,0.00126,0.091,0.529,120.475,244464,4
48,Imagine Dragons,Radioactive,4G8gkOterJn0Ywt6uhqbhp,72,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813,4
49,Tori Amos,Pretty Good Year - 2015 Remaster,70euagGKfDWkSQCoZtHFdh,22,0.388,0.195,6,-14.857,1,0.0339,0.933,3.97e-06,0.0989,0.321,133.152,205640,4
50,Of Monsters and Men,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,80,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4
51,Omnia,The Fusion,2jqXWmlLTo2KAgK7PeHyVa,33,0.553,0.922,3,-4.534,0,0.0492,0.000229,0.000463,0.3,0.28,129.011,155987,4
52,Meek Mill,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,72,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,230693,4
53,Will Wood and the Tapeworms,2012 - 2020 Remastered Version,0Mqesd3aADZ9ptEW8bbf4P,42,0.396,0.856,5,-3.731,1,0.0569,0.288,0.000777,0.092,0.527,120.486,244464,4
54,alt-J,Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,72,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,227080,4
55,David Bowie,Golden Years - 2016 Remaster,4JRem7xHp2l0kmUvt9zCKu,63,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287,243280,4
56,Bruno Mars,Treasure,55h7vJchibLdUkxdlX3fK7,79,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4
57,Keith Emerson,Tarkus (i. Eruption / ii. Stones of Years / iii. Iconoclast / iv. Mass / v. Manticore / vi. Battlefield / vii. Aquatarkus) [2012 Remastered Version],62d0aGpYF2p8fpvJ1qa32V,34,0.462,0.545,5,-12.217,1,0.0486,0.033,0.0714,0.126,0.503,110.828,1237960,4
58,Rihanna,Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,71,0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,256320,4
59,Ateriko,2012,5KWsBqYJ2zNqOAUMYApgFF,26,0.666,0.367,0,-13.021,1,0.0436,0.00325,0.801,0.127,0.25,93.007,105442,4
60,Frank Ocean,Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,74,0.739,0.419,3,-8.241,0,0.0854,0.219,0.0,0.196,0.58,60.493,304760,4
61,Iron Maiden,Wasted Years - 2015 Remaster,2V0T2LS0pf2r3EFpOEkZFO,56,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,309640,4
62,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,70,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
63,A.K.A. Pella,Cheery Bum Whistle,4rZy7JMr2bHNpP0XPWCIrd,31,0.86,0.54,0,-9.387,1,0.0574,0.207,0.0,0.0817,0.459,107.952,164173,4
64,Pitbull,Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,78,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4
65,AJ Wray,"Best of 2012 Mashup ""Call Me Maybe"" ""Payphone"" ""Wide Awake"" ""Starships"" (feat. Gabriel Bennett)",7o7i2MAVOKM0KJ6QXJhZFG,36,0.308,0.228,11,-10.422,1,0.0291,0.675,0.0,0.191,0.234,80.479,206655,3
66,fun.,Some Nights,6t6oULCRS6hnI7rm0h5gwl,71,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
67,Eagles,Funky New Year - 2013 Remaster,7tJS1cjSD1P8bodNGblYiK,19,0.657,0.538,9,-10.34,1,0.0591,0.0544,0.0343,0.332,0.785,90.81,241227,4
68,P!nk,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,80,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
69,Anthem Lights,Best of 2008: With You / No One / Closer / Forever / Low / Bubbly,3trphKEBT6gSXPJCsm49dh,37,0.385,0.425,2,-6.144,1,0.0305,0.715,0.0,0.131,0.53,126.162,232066,4
70,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,70,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,313787,4
71,WiFiGawd,2012,4UGyuU107SYpoXemsx8NNa,18,0.685,0.463,1,-8.673,1,0.422,0.158,0.0,0.263,0.409,139.819,99400,4
72,Train,Drive By,0KAiuUOrLTIkzkpfpn9jb9,78,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
73,Hammock,Longest Year (2020),0MlkZnfwsjwHHSfn07N8ao,18,0.0705,0.286,2,-14.865,1,0.0444,0.685,0.675,0.187,0.0313,78.251,533707,4
74,The Script,Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,69,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
75,Anthem Lights,Best of 2007: Stronger / Umbrella / My Love / What Goes Around / Irreplaceable / Home,239lhERVxtn9GHGUGUU7Ox,36,0.286,0.427,0,-6.547,1,0.042,0.688,0.0,0.146,0.404,79.303,177567,4
76,The Lumineers,Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,70,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,279000,4
77,Olswel,2012,5y0t3JkUsv1VjcS9xBd5RN,11,0.788,0.65,10,-8.393,0,0.196,0.358,0.066,0.139,0.426,129.914,134769,4
78,Owl City,Good Time,1kPpge9JDLpcj15qgrPbYX,78,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4
79,Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,21,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
80,Maroon 5,One More Night,4XNrMwGx1SqP01sqkGTDmo,71,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467,4
81,A.K.A. Pella,Yesh Tikvah,7CoBnk82NBbA6EWhIjzyPh,30,0.633,0.712,8,-6.258,1,0.0435,0.00503,0.0,0.0759,0.544,125.336,246307,4
82,Zedd,Clarity,60wwxj6Dd9NJlirf84wr2c,75,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
83,Twista,2012,6s13luaYWuoCK3hxvVyABZ,17,0.685,0.697,8,-4.729,0,0.0769,0.00654,0.000341,0.104,0.152,60.005,253875,4
84,Flo Rida,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,78,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
85,Dj Biffen,Merry Christmas and Happy New Year 2021 - Radio Edit,7h7yPyss4MIBVPXVeF83vg,19,0.887,0.633,8,-10.453,1,0.066,0.0629,0.922,0.0637,0.849,130.023,176363,4
86,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,69,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
87,A.K.A. Pella,Cry No More,5D4SL9MepozqqhLv6vrGXF,29,0.6,0.656,10,-6.979,1,0.03,0.162,0.0,0.287,0.367,99.999,330480,4
88,Lana Del Rey,Summertime Sadness,2dBwB667LHQkLhdYlwLUZK,70,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,265427,4
89,Monstercat,Best of 2012 Album Mix (Part 1),7Ku9M1e0OyrQepSovGYV2s,15,0.412,0.806,7,-5.67,1,0.0597,0.00591,0.144,0.34,0.21,128.012,3419267,4
90,Tame Impala,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,75,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960,4
91,Mr.Kitty,Years - 2021 Remaster,4S4ZY1yKo3WUtzsg3O6hcf,24,0.608,0.841,9,-8.354,1,0.0293,0.000672,1.67e-05,0.0704,0.185,129.994,214159,4
92,Alicia Keys,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,77,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,4
93,Edgar Froese,Epsilon In Malaysian Pale - 2012 Remaster,5Hk5ZRdIoxtTBzGyD5lZ8P,30,0.146,0.232,4,-19.42,0,0.0474,0.989,0.95,0.295,0.0395,85.11,985758,4
94,Harmless,Swing Lynn,3VCXx37jNGNOMns6z2OnvJ,77,0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,321438,4
95,Darondo,2012 - Feat. The Park,0ZdjNXOaweqA7ga8XoMajv,27,0.898,0.89,7,-5.555,0,0.0429,0.229,0.0384,0.101,0.976,120.041,303280,4
96,Kanye West,Mercy,4qikXelSRKvoCqFcHLB2H2,73,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,329320,4
97,2002,Summer of 300 Years,5hhw7WkW1tJ5hFVEme6Mle,31,0.22,0.111,4,-20.323,1,0.0339,0.951,0.852,0.0995,0.0901,171.957,326760,4
98,Mac DeMarco,Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,73,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,173889,4
99,David Bowie,Starman - 2012 Remaster,3aHl74ctcELDYWDQvLbKLX,32,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4
100,Maroon 5,Payphone,4P0osvTXoSYZZC2n8IFH3c,71,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,4
101,Uncle Lucius,Keep The Wolves Away,1u7J5sEfgOVRt5bkfU2oGV,70,0.682,0.351,1,-10.276,0,0.0318,0.52,0.00059,0.11,0.144,122.207,275520,4
102,Afrojack,2012,6OgkigekZ6kxX2fcvivzaX,30,0.545,0.99,1,-2.756,1,0.0347,0.00368,0.738,0.283,0.142,127.993,174400,4
103,Mumford & Sons,I Will Wait,0hm8rgOY17z7kQJlqGKbu7,69,0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,276720,4
104,Keith Emerson,Tarkus (i. Eruption / ii. Stones of Years / iii. Iconoclast / iv. Mass / v. Manticore / vi. Battlefield / vii. Aquatarkus) [2012 Remastered Version],21lhHDRMO5e7SWCJ0rza0M,31,0.463,0.549,5,-12.222,1,0.0489,0.0197,0.119,0.134,0.473,111.141,1243627,4
105,Chief Keef,I Don't Like,1h6kgem1ai8vUgO1rZOwfB,72,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,293840,4
106,Party Favor,2012 - 4B Remix,302iynk49N24Fk9DPlaqbg,16,0.629,0.935,1,-4.336,1,0.0472,0.00893,0.892,0.166,0.814,150.036,166400,4
107,Lana Del Rey,Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,71,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773,4
108,"Emerson, Lake & Palmer","Tarkus - i. Eruption, ii. Stones of Years, iii. Iconoclast, iv. Mass, v. Manticore, vi. Battlefield, vii. Aquatarkus; 2012 Stereo Mix",6BYULU1d4pbArOI3Y67k1N,27,0.463,0.5,5,-13.366,1,0.0387,0.021,0.0656,0.071,0.399,130.749,1244613,4
109,Kendrick Lamar,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,68,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,4
110,Evolove,2012,4AAfIkAQ5heLZHkLfow6xG,16,0.536,0.778,2,-4.784,0,0.0485,0.0176,0.0,0.0863,0.39,142.073,204027,4
111,Lee Brice,Hard To Love,6E9V9TRlVOLjenGjHemzEH,69,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,4
112,Robin Trower,Somebody Calling - 2012 Remaster,0vTsOvR2ziVAgBMjy57Co8,21,0.601,0.575,8,-8.787,0,0.0301,0.0172,0.0278,0.153,0.869,92.359,298467,4
113,MARINA,Primadonna,4sOX1nhpKwFWPvoMMExi3q,75,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,221075,4
114,Chico Rose,2012,1ocrnORusQhVsXaPzFJvY6,14,0.545,0.99,1,-2.756,1,0.0347,0.00368,0.738,0.283,0.142,127.993,174400,4
115,Katy Perry,California Gurls,6tS3XVuOyu10897O3ae7bi,76,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
116,Robin Trower,Farther on up the Road - 2012 Remaster,0Vr4xk4VSjnqsTPIUDRKD0,22,0.48,0.918,1,-6.584,1,0.171,0.0378,0.000392,0.24,0.766,115.498,155227,4
117,Chief Keef,Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,72,0.82,0.47,8,-7.181,1,0.0458,0.00435,0.0,0.141,0.313,132.003,280173,4
118,LijahT,2012,2I1Mxeo5OyJNJTFAWWZftR,3,0.871,0.553,6,-7.981,0,0.319,0.16,0.0,0.129,0.417,93.949,208414,4
119,Pierce The Veil,A Match Into Water,54MXF9I8s3DuiQo3g0gZ5k,70,0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058,212547,4
120,A.K.A. Pella,Heyma,4PWsZdEbqnat8HQAA31aW7,24,0.731,0.675,0,-5.726,1,0.12,0.19,0.0,0.136,0.875,160.104,181200,4
121,Kendrick Lamar,m.A.A.d city,439TlnnznSiBbQbgXiBqAd,68,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
122,Schlish,2012,209rtLshXoPhSYzEqv3Km6,16,0.791,0.493,1,-12.306,1,0.39,0.172,0.0,0.232,0.433,122.493,128549,4
123,Flo Rida,Whistle,3bC1ahPIYt1btJzSSEyyrF,78,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
124,A.K.A. Pella,Gummy Bear,5sWxerX7ckE7Kw5ZdfU6a5,24,0.851,0.497,11,-6.742,0,0.0542,0.0437,7.9e-05,0.0769,0.868,128.001,177920,3
125,Taylor Swift,I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,78,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
126,The YChromes,Best of 2012,1W3SkHWBLDn9mRxs2u5NDB,2,0.37,0.278,11,-10.742,1,0.0308,0.594,0.0,0.221,0.323,102.029,197704,4
127,Bridgit Mendler,Ready or Not,5xvUgoVED1F4mBu8FL0HaW,74,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,200947,4
128,Pegboard Nerds,Shaku - 2012,4IkBL9EAnfsMiiwQDYFyFE,23,0.718,0.98,1,-3.438,0,0.0491,0.0023,0.0995,0.0962,0.734,140.001,203777,4
129,Imagine Dragons,On Top Of The World,6KuHjfXHkfnIjdmcIvt9r0,68,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,189840,4
130,jimbo,2012,5jBVqfyWjPcVELvcPUASoZ,25,0.552,0.506,1,-12.519,1,0.215,0.0998,8.48e-06,0.176,0.194,93.705,141333,4
131,Rihanna,Stay - Album Version (Edited),789CxjEOtO76BVD1A9yJQH,69,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4
132,Small Faces,Tin Soldier - 2012 Remaster,6ZTEifAapHJdvby7RxRJqo,29,0.353,0.624,9,-10.294,1,0.0323,0.0599,3.6e-06,0.33,0.455,115.046,199583,4
133,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix,5PX4uS1LqlWEPL69phPVQQ,76,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,4
134,Tribal Theory,2012,3tPK4efK8wQPdFQwvu85Vk,8,0.704,0.684,9,-6.711,0,0.0641,0.0319,0.0,0.0406,0.705,153.013,294034,4
135,Swedish House Mafia,Don't You Worry Child - Radio Edit,2V65y3PX4DkRhy1djlxd9p,79,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4
136,A.K.A. Pella,Hang Up the Payphone,6rifmqTgTY2S5NAtClfF4x,22,0.855,0.63,6,-7.112,0,0.104,0.0287,0.0,0.133,0.469,116.997,233800,4
137,The Weeknd,Wicked Games,6VwBbL8CzPiC4QV66ay7oR,73,0.658,0.591,9,-5.197,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078,323747,4
138,Melina Poche,2012,5yOpBPUvSifLby2IrCF40v,7,0.518,0.715,6,-5.014,0,0.031,0.000397,0.0329,0.509,0.381,110.018,277108,4
139,Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,77,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
140,A.K.A. Pella,TGIF 3,4tCokCmOWOtKM2YxPCW1yd,22,0.497,0.659,5,-8.769,0,0.0502,0.0478,5.03e-06,0.351,0.275,123.126,309800,4
141,Miguel,Adorn,25cUhiAod71TIQSNicOaW3,67,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147,4
142,Mike Candys,2012 (If the World Would End) - Radio Mix,4a2Esph5YpP8TRQ1JLGK72,19,0.737,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.399,127.972,166963,4
143,Frank Ocean,Pyramids,4QhWbupniDd44EDtnh2bFJ,71,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920,4
144,Small Faces,Lazy Sunday - 2012 Remaster,2HVE1zWqkWiES5XZs1uuOq,33,0.585,0.561,2,-9.784,1,0.0582,0.112,0.00013,0.689,0.292,134.053,182851,4
