artist_name,artist_genre,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bruno Mars,"['dance pop', 'pop']",When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,85,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
LUCKI,"['plugg', 'pluggnb', 'rap', 'underground hip hop', 'vapor trap']",2012 Summer,3ZdRd53sNTsVY3sLFoTriD,47,0.842,0.229,1,-10.446,1,0.566,0.143,0.000421,0.347,0.569,157.13,97896,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,80,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,190846,4
Schoolgirl Byebye,"['chinese indie', 'sinogaze', 'southern china indie']","Year,2015",0UsmyJDsst2xhX1ZiFF3JW,23,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
The Lumineers,"['folk-pop', 'stomp and holler']",Ho Hey,0W4Kpfp1w2xkY3PrV714B7,75,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",Best of 2011: Just the Way You Are / For the First Time / Someone Like You / Superbass / Grenade / Without You,65bcYKY0QzlXILxVuWspdT,45,0.418,0.343,4,-7.492,1,0.0339,0.741,0.0,0.113,0.327,121.805,183814,4
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,84,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,4
Black Memorial Committee,[],Year 2052,5w3WeWgFibsEyuYJ03II5T,18,0.157,0.136,0,-22.613,1,0.0388,0.922,0.895,0.114,0.0329,63.867,114419,4
Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",Cruise,0i5el041vd6nxrGEU8QRxy,74,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4
Small Faces,"['blues rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'freakbeat', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock']",Itchycoo Park - 2012 Remaster,3ogbNolvuLnFZRbfykTfIs,37,0.645,0.554,9,-9.812,1,0.0778,0.596,3.6e-06,0.325,0.533,127.235,164241,4
Imagine Dragons,"['modern rock', 'rock']",Demons,3LlAyCYU26dvFZBDUIMb7a,74,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,4
Party Favor,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance']",2012,434qhYDxNYCvwimHtlSNvF,38,0.724,0.806,1,-3.601,1,0.192,0.271,0.817,0.16,0.785,159.015,160502,4
Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,81,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,26,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,182288,4
fun.,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,74,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
Wildstylez,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",Year Of Summer - Radio Edit,5U7NscpqQub6inkiFZApNG,47,0.578,0.888,9,-5.573,0,0.0506,0.217,0.000583,0.294,0.378,149.883,174400,4
Pierce The Veil,"['metalcore', 'modern rock', 'pop punk', 'rock']",King For A Day,1IT0WQk5J8NsaeII8ktdlZ,75,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,236293,4
Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Year 3000,7BbyWKteSctTKe696qf7fw,50,0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,201813,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,77,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,25,0.42,0.281,11,-8.204,1,0.0334,0.829,0.0,0.376,0.229,119.515,213165,4
Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,82,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",Best of 2009: Whatcha’ Say / Use Somebody / Halo / I'm Yours / Just Dance / I Gotta Feeling,1wkysG5Hk1Qdh0hpNCqNR0,43,0.445,0.376,11,-6.244,1,0.0298,0.706,0.0,0.27,0.473,129.022,209518,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,77,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
Joey Purp,"['chicago rap', 'indie hip hop', 'underground hip hop']",2012,2hJf188Sz3XxfBDmYK1IMC,51,0.956,0.427,6,-7.39,0,0.447,0.799,0.0,0.0886,0.271,123.083,183881,4
Passenger,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",Let Her Go,1KxwZYyzWNyZSRyErj2ojT,75,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,252733,4
The Kiboomers,"[""children's music""]",The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,27,0.903,0.262,2,-12.528,1,0.081,0.843,0.0,0.109,0.681,95.098,89655,4
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,81,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,5J1iMCE9SnuOqwRwOpVxhp,40,0.417,0.443,5,-6.261,1,0.0328,0.709,0.0,0.217,0.47,119.903,155342,4
MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,79,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,154667,4
Saba,"['chicago rap', 'hip hop', 'rap', 'underground hip hop']",2012 (feat. Day Wave),4UFGBYbb7ixis7fTdzQx0h,45,0.696,0.678,11,-7.825,0,0.515,0.279,7.13e-05,0.109,0.308,155.105,260160,4
Carly Rae Jepsen,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,72,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
Riff Raff,['trap'],Rookie of the Year 2013,4KoDsg2EbYPgqpXSrKqB7F,18,0.773,0.859,2,-6.459,1,0.0573,0.0044,0.00711,0.117,0.577,159.955,121500,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,71,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,4
David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']","Starman - Original Single Mix, 2012 Remaster",6WTk0b9dMcdIiOlnF60AyB,30,0.507,0.379,5,-12.826,1,0.0278,0.245,4.61e-05,0.225,0.57,99.843,257360,4
Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",Die Young,7EQGXaVSyEDsCWKmUcfpLk,78,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
DocRackedUp,[],2012 Flow,4yz86bMJNSwwaqP1fmJQxk,27,0.925,0.105,9,-23.364,1,0.229,0.137,0.00159,0.243,0.169,130.019,133381,4
Imagine Dragons,"['modern rock', 'rock']",Radioactive,4G8gkOterJn0Ywt6uhqbhp,72,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,186813,4
Tori Amos,"['dark pop', 'ectofolk', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",Pretty Good Year - 2015 Remaster,70euagGKfDWkSQCoZtHFdh,22,0.388,0.195,6,-14.857,1,0.0339,0.933,3.97e-06,0.0989,0.321,133.152,205640,4
Of Monsters and Men,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",Little Talks,2ihCaVdNZmnHZWt0fvAM7B,80,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4
Omnia,"['pop dance', 'progressive house', 'progressive trance', 'trance', 'ukrainian edm', 'uplifting trance']",The Fusion,2jqXWmlLTo2KAgK7PeHyVa,33,0.553,0.922,3,-4.534,0,0.0492,0.000229,0.000463,0.3,0.28,129.011,155987,4
Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,72,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,230693,4
The Word Alive,"['melodic metalcore', 'metalcore', 'post-screamo', 'screamo', 'trancecore']",2012,1I9YiXIPPF0t89kDGqWyST,35,0.461,0.871,11,-4.982,0,0.0448,0.000256,0.0,0.497,0.188,150.061,181707,4
alt-J,['indie rock'],Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,72,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,227080,4
David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",Golden Years - 2016 Remaster,4JRem7xHp2l0kmUvt9zCKu,63,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287,243280,4
Bruno Mars,"['dance pop', 'pop']",Treasure,55h7vJchibLdUkxdlX3fK7,79,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4
Keith Emerson,"['album rock', 'art rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'rock keyboard', 'symphonic rock']",Tarkus (i. Eruption / ii. Stones of Years / iii. Iconoclast / iv. Mass / v. Manticore / vi. Battlefield / vii. Aquatarkus) [2012 Remastered Version],62d0aGpYF2p8fpvJ1qa32V,34,0.462,0.545,5,-12.217,1,0.0486,0.033,0.0714,0.126,0.503,110.828,1237960,4
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,70,0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,256320,4
Mike Candys,"['edm', 'pop dance', 'pop house']",2012 (If the World Would End) - Radio Mix,55yWXzQRjFqKea0mgxY0K7,44,0.737,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.399,127.972,166963,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,73,0.739,0.419,3,-8.241,0,0.0854,0.219,0.0,0.196,0.58,60.493,304760,4
Iron Maiden,"['hard rock', 'metal', 'nwobhm', 'rock']",Wasted Years - 2015 Remaster,2V0T2LS0pf2r3EFpOEkZFO,56,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,309640,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,70,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",Best of 2008: With You / No One / Closer / Forever / Low / Bubbly,3trphKEBT6gSXPJCsm49dh,37,0.385,0.425,2,-6.144,1,0.0305,0.715,0.0,0.131,0.53,126.162,232066,4
Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,78,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4
Will Wood and the Tapeworms,['new jersey indie'],2012 - 2020 Remastered Version,0Mqesd3aADZ9ptEW8bbf4P,41,0.396,0.856,5,-3.731,1,0.0569,0.288,0.000777,0.092,0.527,120.486,244464,4
fun.,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",Some Nights,6t6oULCRS6hnI7rm0h5gwl,71,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Funky New Year - 2013 Remaster,7tJS1cjSD1P8bodNGblYiK,19,0.657,0.538,9,-10.34,1,0.0591,0.0544,0.0343,0.332,0.785,90.81,241227,4
P!nk,"['dance pop', 'pop']",Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,80,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
A.K.A. Pella,['jewish pop'],Cheery Bum Whistle,4rZy7JMr2bHNpP0XPWCIrd,30,0.86,0.54,0,-9.387,1,0.0574,0.207,0.0,0.0817,0.459,107.952,164173,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,70,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,313787,4
3OH!3,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap']",Love 2012,1EmeQr29ZsqJTJeASyN3EQ,27,0.558,0.852,1,-4.937,1,0.193,0.0117,9.95e-05,0.0919,0.383,122.84,236120,4
Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",Drive By,0KAiuUOrLTIkzkpfpn9jb9,78,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
Hammock,"['ambient guitar', 'ambient post-rock', 'ambient worship', 'compositional ambient', 'post-rock', 'space ambient']",Longest Year (2020),0MlkZnfwsjwHHSfn07N8ao,18,0.0705,0.286,2,-14.865,1,0.0444,0.685,0.675,0.187,0.0313,78.251,533707,4
The Script,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'uk pop']",Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,69,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",Best of 2007: Stronger / Umbrella / My Love / What Goes Around / Irreplaceable / Home,239lhERVxtn9GHGUGUU7Ox,36,0.286,0.427,0,-6.547,1,0.042,0.688,0.0,0.146,0.404,79.303,177567,4
The Lumineers,"['folk-pop', 'stomp and holler']",Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,70,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,279000,4
Ateriko,[],2012,5KWsBqYJ2zNqOAUMYApgFF,26,0.666,0.367,0,-13.021,1,0.0436,0.00325,0.801,0.127,0.25,93.007,105442,4
Maroon 5,['pop'],One More Night,4XNrMwGx1SqP01sqkGTDmo,71,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467,4
Ish Kevin,['rwandan hip hop'],My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,21,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
Owl City,"['indietronica', 'pop rock']",Good Time,1kPpge9JDLpcj15qgrPbYX,78,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4
A.K.A. Pella,['jewish pop'],Yesh Tikvah,7CoBnk82NBbA6EWhIjzyPh,29,0.633,0.712,8,-6.258,1,0.0435,0.00503,0.0,0.0759,0.544,125.336,246307,4
Lana Del Rey,"['art pop', 'pop']",Summertime Sadness,2dBwB667LHQkLhdYlwLUZK,70,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,265427,4
AJ Wray,[],"Best of 2012 Mashup ""Call Me Maybe"" ""Payphone"" ""Wide Awake"" ""Starships"" (feat. Gabriel Bennett)",7o7i2MAVOKM0KJ6QXJhZFG,36,0.308,0.228,11,-10.422,1,0.0291,0.675,0.0,0.191,0.234,80.479,206655,3
Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",Clarity,60wwxj6Dd9NJlirf84wr2c,74,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
Dj Biffen,[],Merry Christmas and Happy New Year 2021 - Radio Edit,7h7yPyss4MIBVPXVeF83vg,19,0.887,0.633,8,-10.453,1,0.066,0.0629,0.922,0.0637,0.849,130.023,176363,4
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,78,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
Edgar Froese,"['berlin school', 'krautrock']",Epsilon In Malaysian Pale - 2012 Remaster,5Hk5ZRdIoxtTBzGyD5lZ8P,29,0.146,0.232,4,-19.42,0,0.0474,0.989,0.95,0.295,0.0395,85.11,985758,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,69,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
WiFiGawd,"['dmv rap', 'plugg', 'underground hip hop', 'vapor trap']",2012,4UGyuU107SYpoXemsx8NNa,18,0.685,0.463,1,-8.673,1,0.422,0.158,0.0,0.263,0.409,139.819,99400,4
Tame Impala,"['australian psych', 'neo-psychedelic']",Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,75,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960,4
Mr.Kitty,['weirdcore'],Years - 2021 Remaster,4S4ZY1yKo3WUtzsg3O6hcf,23,0.608,0.841,9,-8.354,1,0.0293,0.000672,1.67e-05,0.0704,0.185,129.994,214159,4
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Girl on Fire,4esOae7i4rqTbAu9o5Pxco,77,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920,4
A.K.A. Pella,['jewish pop'],Cry No More,5D4SL9MepozqqhLv6vrGXF,28,0.6,0.656,10,-6.979,1,0.03,0.162,0.0,0.287,0.367,99.999,330480,4
Harmless,['modern dream pop'],Swing Lynn,3VCXx37jNGNOMns6z2OnvJ,76,0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,321438,4
Olswel,['future bass'],2012,5y0t3JkUsv1VjcS9xBd5RN,11,0.788,0.65,10,-8.393,0,0.196,0.358,0.066,0.139,0.426,129.914,134769,4
Kanye West,"['chicago rap', 'rap']",Mercy,4qikXelSRKvoCqFcHLB2H2,73,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,329320,4
2002,['new age'],Summer of 300 Years,5hhw7WkW1tJ5hFVEme6Mle,31,0.22,0.111,4,-20.323,1,0.0339,0.951,0.852,0.0995,0.0901,171.957,326760,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,73,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,173889,4
David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",Starman - 2012 Remaster,3aHl74ctcELDYWDQvLbKLX,32,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4
Maroon 5,['pop'],Payphone,4P0osvTXoSYZZC2n8IFH3c,70,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,4
Uncle Lucius,"['roots rock', 'texas country']",Keep The Wolves Away,1u7J5sEfgOVRt5bkfU2oGV,70,0.682,0.351,1,-10.276,0,0.0318,0.52,0.00059,0.11,0.144,122.207,275520,4
Darondo,"['funk', 'soul']",2012 - Feat. The Park,0ZdjNXOaweqA7ga8XoMajv,26,0.898,0.89,7,-5.555,0,0.0429,0.229,0.0384,0.101,0.976,120.041,303280,4
Lana Del Rey,"['art pop', 'pop']",Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,71,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773,4
Keith Emerson,"['album rock', 'art rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'rock keyboard', 'symphonic rock']",Tarkus (i. Eruption / ii. Stones of Years / iii. Iconoclast / iv. Mass / v. Manticore / vi. Battlefield / vii. Aquatarkus) [2012 Remastered Version],21lhHDRMO5e7SWCJ0rza0M,30,0.463,0.549,5,-12.222,1,0.0489,0.0197,0.119,0.134,0.473,111.141,1243627,4
Mumford & Sons,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",I Will Wait,0hm8rgOY17z7kQJlqGKbu7,69,0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,276720,4
Afrojack,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop rap', 'progressive house', 'tropical house']",2012,6OgkigekZ6kxX2fcvivzaX,29,0.545,0.99,1,-2.756,1,0.0347,0.00368,0.738,0.283,0.142,127.993,174400,4
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'viral rap']",I Don't Like,1h6kgem1ai8vUgO1rZOwfB,72,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,293840,4
"Emerson, Lake & Palmer","['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'jazz fusion', 'progressive rock', 'rock', 'symphonic rock']","Tarkus - i. Eruption, ii. Stones of Years, iii. Iconoclast, iv. Mass, v. Manticore, vi. Battlefield, vii. Aquatarkus; 2012 Stereo Mix",6BYULU1d4pbArOI3Y67k1N,27,0.463,0.5,5,-13.366,1,0.0387,0.021,0.0656,0.071,0.399,130.749,1244613,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,68,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,4
Gudman Backer,[],2012,4lSlllX9oKCoTalFDfaflp,15,0.646,0.464,11,-20.328,1,0.0488,0.0858,0.536,0.167,0.792,109.991,124366,4
Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",Hard To Love,6E9V9TRlVOLjenGjHemzEH,69,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,4
Robin Trower,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'modern blues', 'psychedelic rock', 'rock', 'southern rock']",Somebody Calling - 2012 Remaster,0vTsOvR2ziVAgBMjy57Co8,21,0.601,0.575,8,-8.787,0,0.0301,0.0172,0.0278,0.153,0.869,92.359,298467,4
